Título,Autores,Año,Enlace,Institución
"[PDF][PDF]Sistema de gestión de la calidad del proceso de extensión universitaria, una experiencia en laUniversidad de La Habana.","O González-Aportela,A Batista-Mainegra… - … Electrónica Calidad en …, 2020 - academia.edu",2020,https://www.academia.edu/download/88603953/4146.pdf,Universidad de La Habana
Bienestar psicológico en estudiantes de laUniversidad de La Habana,"MMC Xenes, LM Debs, AL Ruiz, DF Vega - Wímb lu, 2020 - dialnet.unirioja.es",2020,https://dialnet.unirioja.es/servlet/articulo?codigo=8079838,Universidad de La Habana
[HTML][HTML]Gestión de la calidad del proceso extensionista en laUniversidad de La Habana,"O González Aportela,A Batista Mainegra- Revista Cubana de …, 2017 - scielo.sld.cu",2017,http://scielo.sld.cu/scielo.php?pid=S0257-43142017000100009&script=sci_arttext,Universidad de La Habana
Indicadores de calidad del proceso de extensión universitaria en laUniversidad de La Habana,"O González Aportela,A Batista Mainegra… - Revista San …, 2020 - scielo.senescyt.gob.ec",2020,http://scielo.senescyt.gob.ec/scielo.php?pid=S2528-79072020000400049&script=sci_arttext,Universidad de La Habana
[HTML][HTML]Bienestar psicológico en estudiantes repitentes de la Facultad de Psicología de laUniversidad de La Habana,"V Araujo Herrera, D Savignon Araujo - Revista Cubana de Educación …, 2018 - scielo.sld.cu",2018,http://scielo.sld.cu/scielo.php?pid=S0257-43142018000200014&script=sci_arttext,Universidad de La Habana
[HTML][HTML]Propuesta de requisitos generales para el sistema de gestión documental de laUniversidad de La Habana,"J del Castillo Guevara,MM Mena Mugica… - Revista Cubana de …, 2021 - scielo.sld.cu",2021,http://scielo.sld.cu/scielo.php?pid=S2307-21132021000100005&script=sci_arttext&tlng=pt,Universidad de La Habana
"[HTML][HTML]… la República de Cuba, en el acto por el aniversario 60 de su ingreso a la universidad, efectuado en el Aula Magna de laUniversidad de La Habana, el 17 de …","F Castro Ruz -Universidad de La Habana, 2015 - scielo.sld.cu",2015,http://scielo.sld.cu/scielo.php?pid=S0253-92762015000100013&script=sci_arttext,Universidad de La Habana
La maestría en Administración Pública de laUniversidad de La Habana: su pertinencia e impacto,"R de Armas Urquiza,N Tamayo Pineda- Revista Cubana de …, 2019 - scielo.sld.cu",2019,http://scielo.sld.cu/scielo.php?pid=S0257-43142019000300012&script=sci_arttext,Universidad de La Habana
Programa de Alfabetización Mediática e Informacional para estudiantes de pregrado de la Facultad de Comunicación de laUniversidad de La Habana,"Y Izquiero Cuéllar, Y Del Río López,N Silva Alés- Alcance, 2020 - scielo.sld.cu",2020,http://scielo.sld.cu/scielo.php?pid=S2411-99702020000300200&script=sci_arttext&tlng=en,Universidad de La Habana
[PDF][PDF]Formación de competencias investigativas en Ciencias de la Información desde laUniversidad de La Habana,"SF Hernández,MKC Berrio- … Cubana de Información en Ciencias de la …, 2015 - redalyc.org",2015,https://www.redalyc.org/pdf/3776/377645760004.pdf,Universidad de La Habana
Habilidades directivas. Estrategias de formación turística en laUniversidad de La Habana,"JEA Villa, MG González - Explorador digital, 2018 - cienciadigital.org",2018,https://cienciadigital.org/revistacienciadigital2/index.php/exploradordigital/article/view/326,Universidad de La Habana
