Título,Tipo Documento,Autores,Año,Fuente,Resumen,Enlace,PDF,Citas,Enlaces Relacionados,Idioma,Facultad,Institución,Timestamp
"[HTML][HTML]Tutoría detesisde pregrado desde whatsapp, asunción necesaria que deja COVID-19",Tesis,"I Calzadilla Rodríguez, R Ricardo Luis - Alcance, 2020 - scielo.sld.cu",20,scielo.sld.cu,… Facultad de Comunicación de laUniversidaddeLaHabanaen tutorías detesisde grado. Sin… El artículo expone la experiencia de dos profesores tutores de 10tesisdesde la disciplina …,http://scielo.sld.cu/scielo.php?pid=S2411-99702020000300107&script=sci_arttext&tlng=en,,17,{},español,Facultad de Comunicación,Universidad de La Habana,2025-06-06 20:18:36
Visibilidad y accesibilidad al patrimonio documental de laUniversidad de La Habana: repositorio institucional SCRIPTORIUM,Artículo,"YM Lahera, G del Toro Iglesia… - Bibliotecas. Anales de …, 2021 - revistas.bnjm.cu",20,21 - revistas.bnjm.cu,"… el Repositorio Institu cional deTesisde laUniversidaddeLaHabana, donde la activi dad …de laUniversidaddeLaHabanapara ampliar las posi bilidades de acceso y uso de lastesis…",http://revistas.bnjm.cu/index.php/BAI/article/view/158,,17,{},inglés,Desconocida,Universidad de La Habana,2025-06-06 20:18:36
[HTML][HTML]Ciencia de los Polímeros en laUniversidad de la Habana,Artículo,"N Galego-Fernández,C Rozsa-Galego- Revista Cubana de Química, 2018 - scielo.sld.cu",20,18 - scielo.sld.cu,"… En los años 1972 y 1973 fueron defendidas con éxito cincotesisdemaestríaen el CNIC,por … Todas lastesisfueron defendidas exitosamente y constituyen los primeros doctores …",http://scielo.sld.cu/scielo.php?pid=S2224-54212018000100007&script=sci_arttext,,6,{},español,Facultad de Química,Universidad de La Habana,2025-06-06 20:18:36
[HTML][HTML]Enseñanza de la farmacia en la RealUniversidad de La Habanasegún Plan de Estudios de 1863: etapa 1871-1880,Artículo,"P Marchante Castellanos… - Revista Cubana de …, 2007 - scielo.sld.cu",20,07 - scielo.sld.cu,"… se produjeron cambios al restablecerse elDoctoradoen la RealUniversidaddelaHabanapor Real Decreto del 22 de febrero de 1879, en vigor a partir del propio curso 1878-1879. …",http://scielo.sld.cu/scielo.php?pid=S0034-75152007000300013&script=sci_arttext&tlng=pt,,21,{},español,Facultad de Farmacia y Alimentos,Universidad de La Habana,2025-06-06 20:18:36
[PDF][PDF]Institutional repository of the MedicalUniversity of Havana: A task which is impossible to postpone,Artículo,"J Gonzalez-Argote… - Revista Habanera de …, 2018 - medigraphic.com",20,18 - medigraphic.com,"… Un RI permitiría el almacenamiento no solo de artículos científicos sino detesisdemaestría,doctorado, terminación de residencia, actas de congresos, informes técnicos, materiales …",https://www.medigraphic.com/pdfs/revhabciemed/hcm-2018/hcm181p.pdf,,14,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:18:36
"Universidad, innovación y sociedad: experiencias de laUniversidad de La Habana",Artículo,"JN Jover, FC Sanchez - Revista de Ciências da Administração, 2005 - dialnet.unirioja.es",20,05 - dialnet.unirioja.es,"A la luz de los modelos contemporáneos que dan cuenta de las interacciones Universidad,Innovación y Sociedad, en este trabajo presentamos un panorama de la evolución de la …",https://dialnet.unirioja.es/servlet/articulo?codigo=4013778,,102,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:18:36
"… de la investigación, la tecnología y la innovación: Experiencias del proyecto de Acceso Abierto de la Facultad de Comunicación de laUniversidad de La Habana",Artículo,"NS Alés- Revista Publicando, 2020 - revistapublicando.org",20,revistapublicando.org,"… The Open Access Project of the Faculty of Communication of theUniversityofHavanaconsiders these components as essential within its Conception and proceed. Hence, this article …",https://www.revistapublicando.org/revista/index.php/crv/article/view/2128,,3,{},español,Facultad de Comunicación,Universidad de La Habana,2025-06-06 20:18:36
[HTML][HTML]La comunicación de la ciencia a partir de un acercamiento parcial a Estudios Migratorios realizados en laUniversidad de La Habana(2012-20),Artículo,"M Delgado Marín, A Martín Pastrana… - Revista Novedades en …, 2021 - scielo.sld.cu",20,21 - scielo.sld.cu,"… la Frontera Norte (COLEF), desarrollan planes deDoctoradoen Migración que incluyen laslíneas de … De igual manera, elDoctoradoen Estudios Culturales enfoca su programa en la …",http://scielo.sld.cu/scielo.php?pid=S1817-40782021000200483&script=sci_arttext&tlng=en,,2,{},español,Facultad de Comunicación,Universidad de La Habana,2025-06-06 20:18:36
[HTML][HTML]Datos biográficos de los profesores de la Facultad de Farmacia en la RealUniversidad de La Habana: Plan de 1880,Artículo,"P Marchante Castellanos… - Revista Cubana de …, 2009 - scielo.sld.cu",20,09 - scielo.sld.cu,"… de Farmacia de la RealUniversidaddeLaHabana, presentó latesis""¿La forma … latesistitulada ""Estado actual de la Química Orgánica"". Realizó el último ejercicio para elDoctorado…",http://scielo.sld.cu/scielo.php?pid=s0034-75152009000200012&script=sci_arttext&tlng=en,,14,{},español,Facultad de Química,Universidad de La Habana,2025-06-06 20:18:36
[HTML][HTML]Evolución y estado actual de la alfabetización en información en Cuba,Artículo,"G Meneses Placeres- Acimed, 2009 - scielo.sld.cu",20,09 - scielo.sld.cu,"… de laUniversidaddeLaHabana, latesisdelicenciaturatitulada … Esta investigación resultóel preámbulo para lastesis… Esta misma característica presentan lastesispara la opción …",http://scielo.sld.cu/scielo.php?pid=S1024-94352009000500006&script=sci_arttext,,32,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:18:36
[HTML][HTML]Propuesta de acciones para la gestión turística del patrimonio cultural de laUniversidad de La Habana: necesaria y viable,Artículo,"ÁM Ledesma Ramos - Revista Estudios del Desarrollo Social: Cuba y …, 2019 - scielo.sld.cu",20,19 - scielo.sld.cu,"El artículo reflexiona en torno a las potencialidades que posee laUniversidaddeLaHabanay su patrimonio cultural, para mostrar a través de un programa de gestión turística, la valía …",http://scielo.sld.cu/scielo.php?pid=S2308-01322019000200014&script=sci_arttext&tlng=pt,,16,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:18:41
Los modelos de incubadoras de empresas en el Ecosistema de Emprendimiento Universitario. Análisis de laUniversidad de La Habanay la Universidad de Málaga,Artículo,S Reyes Diaz - 2023 - riuma.uma.es,20,23 - riuma.uma.es,"… Por esta razón, la presentetesispropone analizar el papel de las incubadoras de … casosde la Universidad de Málaga y laUniversidaddeLaHabana. Se pudo concluir que los factores …",https://riuma.uma.es/xmlui/handle/10630/26904,,2,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:18:41
… Revista Cubana de Información en Ciencias de la Salud y los trabajos de diploma de la Licenciatura en Ciencias de la Información de laUniversidad de La Habana,Artículo,"M Frías-Guzmán,MJ Peralta-González… - Revista Cubana de …, 2016 - medigraphic.com",20,16 - medigraphic.com,"… detesisde grado, de maestría y dedoctoradosobre la … de diploma y 2tesisdemaestríadedicados a las personalidades, … La culminación del proyecto y la defensa de latesisdoctoral…",https://www.medigraphic.com/cgi-bin/new/resumen.cgi?IDARTICULO=63649,,9,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:18:41
[PDF][PDF]Tesisde Diploma,Tesis,NR Proenza - 2006 - accesoabierto.uh.cu,20,06 - accesoabierto.uh.cu,"… Lozano describe en sutesisdoctoralun algoritmo para obtener dicho espacio, basado enla caracterización 2.7 y cuya complejidad es O(nlog n); donde n es la suma de la cantidad de …",https://accesoabierto.uh.cu/files/original/2176958/Ubicacion_Eficiente_de_Piezas_Poligonales_en_una_Superficie_Plana_y_Convexa.pdf,,2,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:18:41
Repositorio digital para la preservación de la investigación científica. Caso de estudio: Facultad de Comunicación de laUniversidad de la Habana,Artículo,A Medina González- 2017 - library.ifla.org,20,17 - library.ifla.org,"… y pone a disposición de sus usuariostesisde grado, de maestría, y dedoctorado; así como… lastesisy los materiales audiovisuales. En tal sentido, existe un deterioro de lastesisen …",https://library.ifla.org/id/eprint/1977/,,3,{},español,Facultad de Comunicación,Universidad de La Habana,2025-06-06 20:18:41
Ejercicio subjetivo de reflexividad histórica,Artículo,"WCR Arocho - Revista Puertorriqueña de Psicología, 2017 - psykebase.es",20,17 - psykebase.es,"…UniversidaddeLaHabanaydoctoradoen la Universidad Lomonosov de Moscú. Posteriormente,hizo estudios en mercadeo y gerencia en Madrid y de comunicación en La Habana. …",https://psykebase.es/servlet/articulo?codigo=5891750,,6,{},español,Facultad de Psicología,Universidad de La Habana,2025-06-06 20:18:41
Las barreras de la ambientalización curricular en las carreras de Química y Sociología en laUniversidad de la Habana. Un estudio de caso,Artículo,"LF Pompa - Alternativas, 2019 - editorial.ucsg.edu.ec",20,19 - editorial.ucsg.edu.ec,… La ambientalización curricular es una forma de implementar este conocimiento y en laUniversidaddelaHabanaes una realidad. Es necesario aprender y distinguir los diferentes …,https://editorial.ucsg.edu.ec/ojs-alternativas/alternativas/article/view/283,,2,{},español,Facultad de Química,Universidad de La Habana,2025-06-06 20:18:41
[HTML][HTML]Análisis de los patrones de colaboración del Programa deDoctoradoen Documentación e Información Científica,Artículo,"Y Piedra Salomón,G Ponjuán Dante- Revista Cubana de Información …, 2021 - scielo.sld.cu",20,21 - scielo.sld.cu,… lastesis. Para los artículos se analizaron las redes de coautoría y los nexos interinstitucionales.En lastesis… de Granada y laUniversidaddeLaHabanapor ser las coordinadoras del …,http://scielo.sld.cu/scielo.php?pid=S2307-21132021000100002&script=sci_arttext&tlng=en,,8,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:18:41
[HTML][HTML]La red de bibliotecas de laUniversidad de La Habana: camino a una nueva filosofía de trabajo,Artículo,"E Bisset Alvarez, MC Villardefrancos Alvarez… - Revista …, 2015 - scielo.org.co",20,15 - scielo.org.co,… a la Red de Bibliotecas de laUniversidaddeLaHabana; se propone una serie de líneas …un CRAI y finalmente se propone un modelo de CRAI para laUniversidaddeLaHabana. …,http://www.scielo.org.co/scielo.php?pid=S0120-09762015000200006&script=sci_arttext,,2,{},español,"Facultad de Filosofía, Historia y Sociología",Universidad de La Habana,2025-06-06 20:18:41
[PDF][PDF]Los usuarios de la Información. Un estudio de sus necesidades en el Centro de Estudios Demográficos de laUniversidad de La Habana,Artículo,"YM Bravo, MG Pérez, YB López - Ciencias de la Información, 2008 - redalyc.org",20,08 - redalyc.org,"… En este trabajo, se presenta un estudio de necesidades realizado a los usuarios delCentro de Estudios Demográficos (en lo adelante CEDEM), de laUniversidaddeLaHabana, …",https://www.redalyc.org/pdf/1814/181421564004.pdf,,4,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:18:41
[HTML][HTML]De la historiografía de la escultura cubana: su escritura desde la Universidad,Artículo,"ML Cabrera Pérez -Universidad de La Habana, 2019 - scielo.sld.cu",20,19 - scielo.sld.cu,"… De hecho, a instancia de la reconocida profesora comenzó a fraguar en nuestraUniversidad una primeratesisdelicenciaturaque, al abordar el estudio de nuestra vanguardia …",http://scielo.sld.cu/scielo.php?pid=S0253-92762019000200345&script=sci_arttext&tlng=en,,3,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:18:45
[PDF][PDF]Tesis de maestría,Tesis,MP Brito - 2009 - accesoabierto.uh.cu,20,09 - accesoabierto.uh.cu,… de Control Interno ha sido tema de investigación y objeto de múltiples propuestas en losúltimos años en el país y un baluarte en este aspecto ha sido laUniversidaddeLaHabana. En …,https://accesoabierto.uh.cu/files/original/2135293/Roberto_Naveira_Brito_2017.pdf,,2,{},español,Desconocida,Universidad de La Habana,2025-06-06 20:18:45
